Endpoint,readTimestamp,rssi,tagMac,isMotion
8c821130-5ace-11e9-8cbd-001d054d25e2,12:14:39,-72,0xa15537,false
8c821130-5ace-11e9-8cbd-001d054d25e2,12:14:39,-71,0x286dea,false
8c821130-5ace-11e9-8cbd-001d054d25e2,12:14:39,-66,0x28006f,false
8c821130-5ace-11e9-8cbd-001d054d25e2,12:14:39,-74,0xa1552c,false
8c821130-5ace-11e9-8cbd-001d054d25e2,12:14:39,-74,0x27ffa0,false
8c821130-5ace-11e9-8cbd-001d054d25e2,12:14:39,-73,0x286e16,false
8c821130-5ace-11e9-8cbd-001d054d25e2,12:14:39,-64,0x27ffad,false
8c821130-5ace-11e9-8cbd-001d054d25e2,12:14:39,-75,0xa15545,false
8c821130-5ace-11e9-8cbd-001d054d25e2,12:14:39,-69,0x280025,false
e6987764-5acd-11e9-afae-001d054d25e2,12:14:39,-61,0x27ffb2,false
e6987764-5acd-11e9-afae-001d054d25e2,12:14:39,-73,0x286ca9,false
e6987764-5acd-11e9-afae-001d054d25e2,12:14:39,-63,0x280020,false
e6987764-5acd-11e9-afae-001d054d25e2,12:14:39,-64,0x280071,false
e6987764-5acd-11e9-afae-001d054d25e2,12:14:39,-64,0x28001b,false
e6987764-5acd-11e9-afae-001d054d25e2,12:14:39,-59,0x27ffa6,false
e6987764-5acd-11e9-afae-001d054d25e2,12:14:39,-54,0x27ffae,false
e6987764-5acd-11e9-afae-001d054d25e2,12:14:39,-72,0x27ffa7,false
e6987764-5acd-11e9-afae-001d054d25e2,12:14:39,-75,0x27ffb1,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-65,0x27ffb2,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-75,0x28006f,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-74,0x28001c,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-64,0x280071,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-70,0xa15545,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-62,0xa15537,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-62,0x28002a,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-59,0x27ff72,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-70,0x286e16,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-73,0x280072,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-60,0x27ff69,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-69,0x28001b,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-55,0x280025,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-66,0x27ffa6,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-70,0x286ca8,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-75,0x286dea,false
b1ee0b5e-5ace-11e9-b699-001d054d25e2,12:14:39,-63,0x27ffb1,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-57,0x27ffac,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-67,0x280079,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-62,0x27ffa0,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-68,0x28001a,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-57,0xa15503,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-56,0x27ffa2,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-51,0xa15519,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-65,0x28007b,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-63,0xa1550d,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-62,0x27ffb0,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-70,0x280023,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-69,0xa15545,false
049e9f88-0648-11ea-9822-001d054d25e2,12:14:40,-53,0x27ffa9,false
